Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
Terrascan,AC_AWS_0032,Ensure that cloud-front has web application firewall enabled,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0024,Use encrypted connection between CloudFront and origin server,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0023,Secure ciphers are not used in CloudFront distribution,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0025,Ensure that your AWS Cloudfront distributions have the Logging feature enabled in order to track all viewer requests for the content delivered through the Content Delivery Network (CDN).,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0446,Ensure CloudTrail has log file validation enabled.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0033,Ensure CloudTrail logs are encrypted using KMS,NaN,Terraform,Logging and Monitoring,AWS,High,NaN,NaN
Terrascan,AC_AWS_0447,ECR should have an image tag be immutable,NaN,Terraform,Security Best Practices,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0035,Ensure appropriate subscribers to each SNS topic,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0448,Cloud Trail Multi Region not enabled,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0449,Ensure that EC2 is EBS optimized,NaN,Terraform,Security Best Practices,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0034,Cloud Trail Multi Region not enabled,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0450,Ensure AWS Config is enabled in all regions,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0451,AWS CloudWatch log group is not encrypted with a KMS CMK,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0041,App-Tier CloudWatch Log Group Retention Period,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0452,Ensure AWS Cloudwatch log group has retention policy set.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0048,Ensure AWS Config Rule is enabled for Encrypted Volumes,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0049,Ensure AWS Config is enabled in all regions,NaN,Terraform,Logging and Monitoring,AWS,High,NaN,NaN
Terrascan,AC_AWS_0375,Ensure server-side encryption is enabled for AWS DAX Cluster,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0052,Ensure automated backups are enabled for AWS RDS instances,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0454,Ensure CloudWatch logging is enabled for AWS DB instances,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0058,"Ensure that your RDS database instances encrypt the underlying storage. Encrypted RDS instances use the industry standard AES-256 encryption algorithm to encrypt data on the server that hosts RDS DB instances. After data is encrypted, RDS handles authentication of access and description of data transparently with minimal impact on performance.",NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0053,Ensure that your RDS database has IAM Authentication enabled.,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0056,RDS Instance Auto Minor Version Upgrade flag disabled,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0057,Ensure Certificate used in RDS instance is updated,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0054,RDS Instance publicly_accessible flag is true,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0066,RDS should not be defined with public interface. Firewall and router configurations should be used to restrict connections between untrusted networks and any system components in the cloud environment.,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0067,RDS should not be open to a public scope. Firewall and router configurations should be used to restrict connections between untrusted networks and any system components in the cloud environment.,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0065,RDS should not be open to a large scope. Firewall and router configurations should be used to restrict connections between untrusted networks and any system components in the cloud environment.,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0455,Ensure DocDb is encrypted at rest,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0456,Ensure DocDb clusters have log exports enabled.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0457,Ensure DynamoDb is encrypted at rest,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0458,Ensure Point In Time Recovery is enabled for DynamoDB Tables,NaN,Terraform,Resilience,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0079,Ensure that the AWS EBS that hold sensitive and critical data is encrypted by default to fulfill compliance requirements for data-at-rest encryption.,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0459,Enable AWS EBS Snapshot Encryption,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0460,"Ensure that AWS EBS clusters are encrypted. Data encryption at rest, prevents unauthorized users from accessing sensitive data on your AWS EBS clusters and associated cache storage systems.",NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0461,Ensure ECR repository is encrypted at rest,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0462,Ensure ECR repository has policy attached.,NaN,Terraform,Identity and Access Management,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0083,Unscanned images may contain vulnerabilities,NaN,Terraform,Configuration and Vulnerability Analysis,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0084,"Identify any exposed Amazon ECR image repositories available within your AWS account and update their permissions in order to protect against unauthorized access. Amazon Elastic Container Registry (ECR) is a managed Docker registry service that makes it easy for DevOps teams to store, manage and deploy Docker container images. An ECR repository is a collection of Docker images available on AWS cloud.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0087,Ensure there are no ECS services Admin roles,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0463,Ensure EFS volume used for ECS task definition has in transit encryption enabled,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0088,Like any other EC2 instance it is recommended to place ECS instance within a VPC. AWS VPCs provides the controls to facilitate a formal process for approving and testing all network connections and changes to the firewall and router configurations,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0095,Sensitive Information Disclosure,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0097,Enable encryption of your EFS file systems in order to protect your data and metadata from breaches or unauthorized access and fulfill compliance requirements for data-at-rest encryption within your organization.,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0098,Enable encryption of your EFS file systems in order to protect your data and metadata from breaches or unauthorized access and fulfill compliance requirements for data-at-rest encryption within your organization.,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0464,Ensure EFS file system does not use insecure wildcard policies.,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0465,Ensure EKS clusters have control plane logging enabled.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0103,ElastiCache for Memcached is not in use in AWS PCI DSS environments,NaN,Terraform,Compliance Validation,AWS,High,NaN,NaN
Terrascan,AC_AWS_0102,ElastiCache for Redis version is not compliant with AWS PCI DSS requirements,NaN,Terraform,Compliance Validation,AWS,High,NaN,NaN
Terrascan,AC_AWS_0104,AWS ElastiCache Multi-AZ,NaN,Terraform,Resilience,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0466,Ensure Elastic Cache Replication Group is encrypted at rest,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0467,Ensure Elastic Cache Replication Group is encrypted in transit,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0111,ElasticSearch Domain Encrypted with KMS CMKs,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0112,Enable AWS ElasticSearch Encryption At Rest,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0468,Ensure Elasticsearch domains being created are set to be encrypted node-to-node,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0105,Ensure that your AWS Elasticsearch clusters have enabled the support for publishing slow logs to AWS CloudWatch Logs. This feature enables you to publish slow logs from the indexing and search operations performed on your ES clusters and gain full insight into the performance of these operations.,NaN,Terraform,Compliance Validation,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0469,Ensure Elasticsearch domains do not have wildcard policies.,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0470,Ensure AWS ELB has access logging enabled.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0120,AWS ELB incoming traffic not encrypted,NaN,Terraform,Infrastructure Security,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0471,Ensure Global Accelerator accelerator has flow logs enabled.,NaN,Terraform,Logging and Monitoring,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0131,"Ensure that Amazon GuardDuty service is currently enabled in all regions in order to protect your AWS environment and infrastructure (AWS accounts and resources, IAM credentials, guest operating systems, applications, etc) against security threats. AWS GuardDuty is a managed threat detection service that continuously monitors your VPC flow logs, AWS CloudTrail event logs and DNS logs for malicious or unauthorized behavior. The service monitors for activity such as unusual API calls, potentially compromised EC2 instances or potentially unauthorized deployments that indicate a possible AWS account compromise. AWS GuardDuty operates entirely on Amazon Web Services infrastructure and does not affect the performance or reliability of your applications. The service does not require any software agents, sensors or network appliances.",NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0132,"The root account is the most privileged user in an AWS account. AWS Access Keys provide programmatic access to a given AWS account. It is recommended that all access keys associated with the root account be removed. Removing access keys associated with the root account limits vectors by which the account can be compromised. Additionally, removing the root access keys encourages the creation and use of role based accounts that are least privileged.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0133,Ensure that there are no exposed Amazon IAM access keys in order to protect your AWS resources against unapproved access,NaN,Terraform,Identity and Access Management,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0472,It is recommended that the password policy prevent the reuse of passwords.Preventing password reuse increases account resiliency against brute force login attempts,NaN,Terraform,Compliance Validation,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0138,Reducing the password lifetime increases account resiliency against brute force login attempts,NaN,Terraform,Compliance Validation,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0134,"Lower case alphabet not present in the Password, Password Complexity is not high. Increased Password complexity increases resiliency against brute force attack",NaN,Terraform,Compliance Validation,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0136,"Number not present in the Password, Password Complexity is not high. Increased Password complexity increases resiliency against brute force attack",NaN,Terraform,Compliance Validation,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0137,"Special symbols not present in the Password, Password Complexity is not high. Increased Password complexity increases resiliency against brute force attack",NaN,Terraform,Compliance Validation,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0135,"Upper case alphabet not present in the Password, Password Complexity is not high. Increased Password complexity increases resiliency against brute force attack",NaN,Terraform,Compliance Validation,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0142,Setting a lengthy password increases account resiliency against brute force login attempts,NaN,Terraform,Compliance Validation,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0141,Setting a lengthy password increases account resiliency against brute force login attempts,NaN,Terraform,Compliance Validation,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0143,"It is recommended and considered a standard security advice to grant least privileges that is, granting only the permissions required to perform a task. IAM policies are the means by which privileges are granted to users, groups, or roles. Determine what users need to do and then craft policies for them that let the users perform only those tasks, instead of granting full administrative privileges.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0144,"It is recommended and considered a standard security advice to grant least privileges that is, granting only the permissions required to perform a task. IAM policies are the means by which privileges are granted to users, groups, or roles. Determine what users need to do and then craft policies for them that let the users perform only those tasks, instead of granting full administrative privileges.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0146,"It is recommended and considered a standard security advice to grant least privileges that is, granting only the permissions required to perform a task. IAM policies are the means by which privileges are granted to users, groups, or roles. Determine what users need to do and then craft policies for them that let the users perform only those tasks, instead of granting full administrative privileges.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0147,"It is recommended and considered a standard security advice to grant least privileges that is, granting only the permissions required to perform a task. IAM policies are the means by which privileges are granted to users, groups, or roles. Determine what users need to do and then craft policies for them that let the users perform only those tasks, instead of granting full administrative privileges.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0473,Ensure IAM roles do not have any policies attached that may cause privilege escalation.,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0148,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets, have minimal length, rotation and history restrictions",NaN,Terraform,Compliance Validation,AWS,High,NaN,NaN
Terrascan,AC_AWS_0474,"It is recommended and considered a standard security advice to grant least privileges that is, granting only the permissions required to perform a task. IAM policies are the means by which privileges are granted to users, groups, or roles. Determine what users need to do and then craft policies for them that let the users perform only those tasks, instead of granting full administrative privileges.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0475,Ensure IAM policies are attached only to groups or roles,NaN,Terraform,Identity and Access Management,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0150,"Ensure Hardware MFA device is enabled for the ""root"" account",NaN,Terraform,Compliance Validation,AWS,High,NaN,NaN
Terrascan,AC_AWS_0149,"Ensure Virtual MFA device is enabled for the ""root"" account",NaN,Terraform,Compliance Validation,AWS,High,NaN,NaN
Terrascan,AC_AWS_0151,It is recommended that MFA be enabled for all accounts that have a console password. Enabling MFA provides increased security for console access as it requires the authenticating principal to possess a device that emits a time-sensitive key and have knowledge of a credential,NaN,Terraform,Compliance Validation,AWS,High,NaN,NaN
Terrascan,AC_AWS_0476,Ensure IAM permissions are not given directly to users,NaN,Terraform,Identity and Access Management,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0477,Ensure that instance launched follows the least privilege principle as this can be related to delivery-exploitation-Installation phases of kill  chain,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0478,Security group attached to launch configuration is wide open to internet and this can be related to reconnaissance phase,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0153,Ensure that your AWS application is not deployed within the default Virtual Private Cloud in order to follow security best practices,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0479,EC2 instances should disable IMDS or require IMDSv2 as this can be related to the weaponization phase of kill chain,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0480,Ensure that detailed monitoring is enabled for EC2 instances.,NaN,Terraform,Logging and Monitoring,AWS,High,NaN,NaN
Terrascan,AC_AWS_0156,AWS Kinesis Server data at rest has server side encryption (SSE),NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0157,Ensure Kinesis Stream is encrypted,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0160,Ensure rotation for customer created CMKs is enabled,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0481,Ensure IAM policies do not have 'Principal' element missing from the policy statement.,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0482,Ensure KMS key policy does not have wildcard policies attached.,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0162,Identify any publicly accessible AWS Key Management Service master keys and update their access policy in order to stop any unsigned requests made to these resources.,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0483,Lambda does not use KMS CMK key to protect environment variables.,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0484,Ensure AWS Lambda function has policy attached.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0163,Lambda tracing is not enabled.,NaN,Terraform,Logging and Monitoring,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0485,Lambda tracing is not enabled.,NaN,Terraform,Logging and Monitoring,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0486,Lambda function does not include a VPC configuration.,NaN,Terraform,Infrastructure Security,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0487,Launch configuration uses IMDSv1 which vulnerable to SSRF,NaN,Terraform,Configuration and Vulnerability Analysis,AWS,High,NaN,NaN
Terrascan,AC_AWS_0488,Ensure that launch configuration launched follows the least privilege principle,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0489,Security group attached to launch configuration is wide open to internet ,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0490,It is important to enable cloudWatch monitoring incase monitoring the activity,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0167,"Ensure that AWS ECS clusters are encrypted. Data encryption at rest, prevents unauthorized users from accessing sensitive data on your AWS ECS clusters and associated cache storage systems.",NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0170,Avoid using base64 encoded shell script as part of config,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0168,Avoid using base64 encoded private keys as part of config,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0491,Ensure there is a listener configured on HTTPs or with a port 443,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0492,Ensure Target Group use HTTPs to ensure end to end encryption,NaN,Terraform,Infrastructure Security,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0172,"Using insecure ciphers for your ELB Predefined or Custom Security Policy, could make the SSL connection between the client and the load balancer vulnerable to exploits. TLS 1.0 was recommended to be disabled by PCI Council after June 30, 2016",NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0171,"Remove insecure ciphers for your ELB Predefined or Custom Security Policy, to reduce the risk of the SSL connection between the client and the load balancer being exploited.",NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0174,Enable AWS MQ Log Exports,NaN,Terraform,Logging and Monitoring,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0175,Publicly Accessible MQ Brokers,NaN,Terraform,Security Best Practices,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0493,Ensure Neptune Cluster is Encrypted,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0494,Ensure AWS Neptune clusters have logging enabled.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0186,"Encrypt Amazon RDS instances and snapshots at rest, by enabling the encryption option for your Amazon RDS DB instance",NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0495,Ensure backup retention period is set for rds cluster,NaN,Terraform,Resilience,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0198,"Use customer-managed KMS keys instead of AWS-managed keys, to have granular control over encrypting and encrypting data. Encrypt Redshift clusters with a Customer-managed KMS key. This is a recommended best practice.",NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0200,Ensure AWS Redshift cluster instances have logging enabled.,NaN,Terraform,Logging and Monitoring,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0199,Ensure Redshift clusters are not publicly accessible to minimize security risks.,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0204,Ensure CloudWatch logging is enabled for Route53 hosted zones.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0205,Route53HostedZone should have recordSets.,NaN,Terraform,Logging and Monitoring,AWS,High,NaN,NaN
Terrascan,AC_AWS_0215,S3 bucket Access is allowed to all AWS Account Users.,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0207,Ensure that S3 Buckets have server side encryption at rest enabled with KMS key to protect sensitive data.,NaN,Terraform,Data Protection,AWS,High,NaN,NaN
Terrascan,AC_AWS_0496,"Ensure S3 buckets do not have, a both public ACL on the bucket and a public access block.",NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0214,"Enabling S3 versioning will enable easy recovery from both unintended user actions, like deletes and overwrites",NaN,Terraform,Resilience,AWS,High,NaN,NaN
Terrascan,AC_AWS_0210,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0211,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0212,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0213,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0497,Ensure S3 buckets have access logging enabled.,NaN,Terraform,Logging and Monitoring,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0208,Ensure that there are not any static websites being hosted on buckets you aren't aware of,NaN,Terraform,Infrastructure Security,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0498,Ensure S3 object is Encrypted,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0219,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0220,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0221,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0224,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0217,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0218,Misconfigured S3 buckets can leak private information to the entire internet or allow unauthorized data tampering / deletion,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0499,Ensure SageMaker Instance is Encrypted,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0500,Ensure SecretsManager Secrets are Encrypted using KMS key,NaN,Terraform,Data Protection,AWS,Medium,NaN,NaN
Terrascan,AC_AWS_0501,Ensure secrets manager do not wildcard policies attached,NaN,Terraform,Identity and Access Management,AWS,High,NaN,NaN
Terrascan,AC_AWS_0227,"Security Groups - Unrestricted Specific Ports - (SSH,22)",NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0228,"Security Groups - Unrestricted Specific Ports - (HTTP,80)",NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0229,"Security Groups - Unrestricted Specific Ports - (HTTPS,443)",NaN,Terraform,Infrastructure Security,AWS,Low,NaN,NaN
Terrascan,AC_AWS_0230,"Security Groups - Unrestricted Specific Ports - remote desktop port (TCP,3389)",NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0231,Ensure no security groups allow ingress from 0.0.0.0/0 to ALL ports and protocols,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
Terrascan,AC_AWS_0232,Ensure no default security groups are used as they allow ingress from 0.0.0.0/0 to ALL ports and protocols,NaN,Terraform,Infrastructure Security,AWS,High,NaN,NaN
